epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
142,633.652,1.28291,0.66943,0.00246,0.93829,0.83422,0.92236,0.61863,1.40773,0.73253,0.00448,0.000955916,0.000955916,0.000955916
143,638.466,1.34474,0.67237,0.00254,0.9096,0.82745,0.91146,0.6103,1.41637,0.76046,0.00449,0.000954816,0.000954816,0.000954816
144,642.51,1.32582,0.65192,0.00259,0.90669,0.83797,0.91593,0.61559,1.41833,0.70606,0.00457,0.000953716,0.000953716,0.000953716
145,646.355,1.2724,0.63068,0.0025,0.90684,0.85345,0.91652,0.62516,1.3747,0.69774,0.00448,0.000952616,0.000952616,0.000952616
146,651.146,1.26494,0.637,0.00249,0.86109,0.89252,0.91733,0.62718,1.35958,0.71454,0.0043,0.000951516,0.000951516,0.000951516
147,655.369,1.30181,0.6786,0.0027,0.87962,0.84974,0.91131,0.62206,1.38533,0.70661,0.00432,0.000950416,0.000950416,0.000950416
148,659.249,1.31933,0.65952,0.00248,0.89041,0.86196,0.92264,0.63196,1.37836,0.67612,0.00432,0.000949316,0.000949316,0.000949316
149,663.964,1.29994,0.65159,0.00255,0.9255,0.85977,0.92921,0.63332,1.38427,0.69671,0.00438,0.000948216,0.000948216,0.000948216
150,668.075,1.29884,0.64754,0.00247,0.86919,0.86814,0.91557,0.62298,1.4112,0.68505,0.00441,0.000947116,0.000947116,0.000947116
151,671.967,1.32128,0.68422,0.00262,0.88028,0.84116,0.90962,0.61329,1.42356,0.71245,0.00447,0.000946016,0.000946016,0.000946016
152,676.584,1.26503,0.61716,0.00243,0.89951,0.83351,0.90838,0.63196,1.36898,0.68012,0.00429,0.000944917,0.000944917,0.000944917
153,681.084,1.29296,0.62738,0.00239,0.92458,0.82586,0.92005,0.62524,1.35616,0.71356,0.00423,0.000943817,0.000943817,0.000943817
154,684.945,1.29326,0.64553,0.00256,0.86577,0.87592,0.90777,0.62235,1.38675,0.75063,0.00439,0.000942717,0.000942717,0.000942717
155,689.544,1.29744,0.65102,0.00242,0.88963,0.84349,0.90941,0.61904,1.3907,0.74893,0.00434,0.000941617,0.000941617,0.000941617
156,693.908,1.25299,0.62482,0.00248,0.92859,0.81116,0.9196,0.62101,1.38956,0.75442,0.00429,0.000940517,0.000940517,0.000940517
157,697.827,1.31662,0.66658,0.00254,0.87644,0.87035,0.91429,0.60493,1.48741,0.77242,0.00462,0.000939417,0.000939417,0.000939417
158,702.413,1.25256,0.61664,0.00247,0.85702,0.85747,0.91533,0.6161,1.42074,0.73896,0.00443,0.000938317,0.000938317,0.000938317
159,706.873,1.27652,0.62744,0.00249,0.89405,0.84757,0.91429,0.61535,1.41868,0.73902,0.00448,0.000937217,0.000937217,0.000937217
160,710.86,1.27814,0.64651,0.00256,0.91117,0.81147,0.91286,0.62403,1.37327,0.71973,0.00436,0.000936117,0.000936117,0.000936117
161,715.146,1.26858,0.63038,0.00246,0.93262,0.82842,0.9198,0.61723,1.41488,0.70058,0.00449,0.000935018,0.000935018,0.000935018
162,719.681,1.27062,0.63206,0.00248,0.88558,0.86097,0.9185,0.61671,1.39302,0.72286,0.00447,0.000933918,0.000933918,0.000933918
163,723.553,1.25598,0.61428,0.00245,0.89891,0.80868,0.90629,0.61131,1.41602,0.77117,0.00447,0.000932818,0.000932818,0.000932818
164,727.561,1.27268,0.65476,0.00251,0.86737,0.84421,0.9107,0.59237,1.46555,0.79305,0.00464,0.000931718,0.000931718,0.000931718
165,732.49,1.26535,0.62508,0.00245,0.92547,0.80494,0.91686,0.61801,1.39672,0.74294,0.00437,0.000930618,0.000930618,0.000930618
166,736.47,1.28574,0.63256,0.00238,0.8858,0.85356,0.91217,0.62567,1.3933,0.70133,0.00442,0.000929518,0.000929518,0.000929518
167,740.376,1.28428,0.66225,0.00253,0.86528,0.86523,0.91364,0.6275,1.38795,0.70574,0.00436,0.000928418,0.000928418,0.000928418
168,745.259,1.23269,0.61292,0.00243,0.8499,0.89255,0.91234,0.62057,1.39314,0.72763,0.0044,0.000927318,0.000927318,0.000927318
169,749.191,1.26667,0.64324,0.00253,0.8896,0.87302,0.92224,0.62057,1.40654,0.70467,0.00446,0.000926218,0.000926218,0.000926218
170,753.18,1.22954,0.60029,0.0025,0.9105,0.85297,0.91813,0.63837,1.35372,0.70085,0.00429,0.000925119,0.000925119,0.000925119
171,758.261,1.31917,0.63533,0.00233,0.89612,0.82329,0.90405,0.61611,1.40136,0.74932,0.00441,0.000924019,0.000924019,0.000924019
172,762.255,1.3612,0.66145,0.00249,0.86131,0.863,0.90174,0.62213,1.38047,0.73617,0.00432,0.000922919,0.000922919,0.000922919
173,766.056,1.2622,0.63407,0.00253,0.8556,0.85337,0.89808,0.62879,1.37406,0.70978,0.00433,0.000921819,0.000921819,0.000921819
174,771.244,1.30345,0.63586,0.00236,0.86882,0.83851,0.90609,0.62847,1.39374,0.68811,0.00439,0.000920719,0.000920719,0.000920719
175,775.197,1.25587,0.61343,0.00237,0.87829,0.84567,0.913,0.61825,1.44947,0.71739,0.00457,0.000919619,0.000919619,0.000919619
176,779.071,1.2985,0.64176,0.00243,0.88172,0.84815,0.91435,0.60722,1.40235,0.7303,0.00451,0.000918519,0.000918519,0.000918519
177,784.149,1.25464,0.62037,0.00249,0.87547,0.83786,0.91332,0.60699,1.45672,0.73785,0.00465,0.000917419,0.000917419,0.000917419
178,788.047,1.29868,0.64738,0.00239,0.94451,0.84382,0.92682,0.63587,1.41144,0.70551,0.00445,0.000916319,0.000916319,0.000916319
179,791.946,1.2485,0.6179,0.00237,0.88105,0.89675,0.93502,0.62577,1.4312,0.69704,0.00447,0.00091522,0.00091522,0.00091522
